artist,years_active
23zg3TcAtWQy7J6upgbUnj,1994:1;1995:1;1997:2;1999:1;2001:1;2002:1;2004:4;2005:1;2008:4;2009:1;2010:5;2012:4;2014:5;2015:1;2016:2;2018:1;2019:2;2020:7;2021:2;2022:1;2023:7;2024:8;
6wPhSqRtPu1UhRCDX5yaDJ,2004:1;2005:7;2006:1;2008:5;2009:5;2020:2;2022:1;2023:1;
1Y8cdNmUJH7yBTd9yOvr5i,1998:2;1999:2;2000:2;2001:2;2004:3;2005:6;2019:1;
1G9G7WwrXka3Z1r7aIDjI7,1994:1;1996:4;1997:1;1998:1;2000:4;2001:1;2003:3;2006:1;2020:1;2021:2;
2jw70GZXlAI8QzWeY2bgRc,2000:2;2003:1;2004:1;2006:8;2007:2;2008:1;2009:5;2010:5;2012:6;2017:1;2018:2;2021:2;2022:1;2023:2;2024:5;
2Hjj68yyUPiC0HKEOigcEp,2004:1;2005:1;2006:2;2008:2;2010:1;2013:2;2014:2;2018:5;2019:1;2020:3;2021:5;2024:5;
27FGXRNruFoOdf1vP8dqcH,2006:3;2008:2;2009:2;2011:2;2012:2;2017:2;2019:7;2021:2;
0f5nVCcR06GX8Qikz0COtT,2004:1;2005:4;2006:1;2007:7;2010:1;2011:1;2012:1;2013:1;2014:3;2015:2;2017:4;2020:1;2021:1;2022:1;2023:7;2024:3;
0p4nmQO2msCgU4IF37Wi3j,2002:1;2003:2;2004:3;2007:2;2008:1;2010:1;2011:2;2013:1;2015:1;2017:1;2018:1;2019:2;2020:1;2021:3;2022:6;2023:4;2024:2;
7bXgB6jMjp9ATFy66eO08Z,2005:3;2006:1;2007:4;2008:2;2009:3;2010:2;2011:6;2012:3;2013:1;2014:2;2015:7;2016:6;2017:9;2018:9;2019:13;2020:7;2021:13;2022:16;2023:12;2024:4;
4TKTii6gnOnUXQHyuo9JaD,1993:2;1994:1;1996:3;1998:1;1999:1;2002:1;2003:1;2004:1;2005:6;2007:2;2008:3;2010:2;2012:1;2013:2;2017:5;2018:1;2019:8;2020:4;2021:1;2022:6;2023:3;2024:5;
1yxSLGMDHlW21z4YXirZDS,1998:1;2000:1;2003:1;2004:4;2005:3;2006:2;2009:5;2010:4;2016:1;2018:3;2019:5;2020:10;2021:1;2022:15;2023:10;2024:1;
5ND0mGcL9SKSjWIjPd0xIb,1996:2;1998:1;1999:2;2000:1;2002:1;2004:2;2005:1;2006:2;2007:1;2009:3;2011:7;2012:1;2013:1;2015:1;2016:1;2019:4;2020:3;2021:2;2022:2;2023:5;2024:2;
01lz5VBfkMFDteSA9pKJuP,2005:3;2007:2;2011:1;
7gOdHgIoIKoe4i9Tta6qdD,2006:1;2007:1;2008:1;2009:2;2010:1;2013:2;2019:3;2020:3;2021:3;2023:11;2024:1;
5qK5bOC6wLtuLhG5KvU17c,2007:1;2008:3;2011:2;2019:3;2021:1;2024:1;
0N0d3kjwdY2h7UVuTdJGfp,2004:1;2005:1;2006:4;2007:3;2008:2;2009:3;2010:5;2011:11;2012:3;2013:5;2014:2;2015:1;2017:7;2018:2;2019:2;2020:8;2021:6;2022:1;2024:8;
07YZf4WDAMNwqr4jfgOZ8y,2010:5;2011:7;2012:1;2013:2;2014:3;2015:4;2016:5;2017:5;2018:10;2019:7;2020:22;2021:11;2022:6;2023:25;2024:16;
21E3waRsmPlU7jZsS13rcj,2005:2;2006:4;2007:7;2008:2;2009:1;2010:2;2011:2;2012:3;2014:1;2015:5;2016:2;2017:1;2018:5;2019:6;2020:7;2021:10;2022:11;2023:6;2024:5;
5YGY8feqx7naU7z4HrwZM6,2007:1;2008:2;2009:1;2010:1;2013:2;2014:1;2015:2;2017:5;2018:3;2019:6;2020:2;2021:3;2022:1;2023:3;2024:3;
0vWCyXMrrvMlCcepuOJaGI,2006:1;2009:2;2012:2;2023:7;2024:5;
5tKXB9uuebKE34yowVaU3C,2009:1;2010:3;2011:1;2013:1;2015:2;2018:2;2020:1;2021:2;2022:2;2023:1;2024:1;
6LqNN22kT3074XbTVUrhzX,2008:1;2009:1;2010:7;2011:2;2012:3;2013:1;2016:1;2017:5;2018:3;2019:5;2020:10;2021:5;2023:5;2024:3;
1uNFoZAHBGtllmzznpCI3s,2009:1;2010:2;2011:3;2012:7;2013:2;2014:1;2015:2;2017:1;2018:1;2019:7;2020:15;2021:12;2022:5;2023:2;
0QJIPDAEDILuo8AIq3pMuU,2004:2;2005:5;2006:1;2007:2;2008:2;2010:4;2012:1;2013:4;2015:2;2016:1;2017:1;2020:3;2022:4;
0C0XlULifJtAgn6ZNCW2eu,2003:1;2004:4;2005:1;2006:2;2007:1;2008:4;2009:1;2012:1;2016:2;2017:1;2018:1;2019:1;2020:6;2021:4;2022:3;2023:1;2024:1;
6FBDaR13swtiWwGhX1WQsP,1994:1;1995:1;1997:1;1999:1;2000:1;2001:2;2003:1;2011:1;2012:1;2016:3;2019:3;2020:2;2023:1;2024:1;
3vAaWhdBR38Q02ohXqaNHT,2002:1;2005:3;2006:1;2008:2;2009:4;2012:3;2013:1;2015:1;2017:1;2018:1;2019:1;2020:1;2024:1;
5ILrArfIV0tMURcHJN8Q07,2002:2;2004:1;2007:2;2011:2;2013:1;2015:3;2016:2;2017:1;2018:6;2019:1;2020:3;2021:1;2022:1;2023:1;
7vWBZm3sQ8yQvfV4nXxHXK,2011:1;2012:2;2013:1;2014:1;2015:1;2016:3;2017:2;2018:5;2019:4;2021:5;2022:1;2024:4;
6S2OmqARrzebs0tKUEyXyp,2008:2;2009:1;2011:2;2012:1;2013:4;2014:1;2015:5;2016:2;2017:9;2018:15;2020:12;2021:13;2022:9;2023:10;2024:3;
3ao3jf5d70Tf4fPh2bnXVl,2007:1;2009:1;2010:1;2011:2;2012:1;2013:2;2014:1;2015:1;2016:3;2017:9;2018:3;2019:2;2021:2;2022:2;2023:2;2024:6;
26bcq2nyj5GB7uRr558iQg,1979:1;1981:1;1982:1;1983:1;1984:1;1986:1;1988:1;2006:1;
7zdmbPudNX4SQJXnYIuCTC,2010:2;2011:2;2012:1;2013:1;2015:8;2018:1;2019:16;2020:19;2021:13;
6BKWwLs98ZY3ifhCDNGvLk,2013:1;2014:5;2015:1;2016:2;2017:1;2018:2;2019:3;2020:1;2021:1;2023:1;
6Gp8BbKAqPO3R0UAYkm8J0,2008:1;2009:1;2014:2;2015:1;2017:2;2018:1;2020:1;2021:1;2022:1;
3cR4rhS2hBWqI7rJEBacvN,2014:1;2017:1;2018:3;2019:3;2020:4;2021:3;2022:1;2023:4;
6sLwRSXSUF5JTUnQaFenyj,2011:1;2017:2;2018:1;2021:1;2022:38;2023:33;
4aXXDj9aZnlshx7mzj3W1N,2008:1;2015:1;2016:1;2017:1;2018:4;2021:25;2022:9;2023:2;2024:1;
36QJpDe2go2KgaRleHCDTp,1969:4;1970:2;1971:2;1973:2;1975:2;1976:3;1979:2;1982:2;2003:1;2007:1;2012:1;2016:1;
4e5V1Q2dKCzbLVMQ8qbTn6,1994:1;1995:2;1997:1;1999:1;2000:2;2004:1;2005:1;2006:1;2008:1;2009:1;2010:1;2015:1;2017:2;2019:1;2020:1;2022:6;2024:5;
2NPduAUeLVsfIauhRwuft1,1997:1;1998:1;2000:1;2001:1;2002:2;2004:2;2005:2;2006:3;2007:3;2008:4;2011:3;2012:3;2013:2;2015:2;2016:1;2017:1;2018:1;2019:1;2020:1;2021:2;2023:1;2024:5;
5GtMEZEeFFsuHY8ad4kOxv,1991:6;1994:5;1998:1;2001:1;2003:5;2004:2;2005:2;2006:2;2007:4;2008:2;2009:3;2010:1;2011:2;2012:1;2015:6;2016:1;2017:3;2019:1;2021:4;2022:4;2023:2;2024:3;
