id,name,followers,popularity,genres
2o9hRZ3xI27UQpHT61A4Mm,Kojo Funds,314783,50,afroswing;grime;uk dancehall;uk hip hop
6JvU33PZ8MtZyeFTESr09O,Kap G,504910,43,atl hip hop;chicano rap;melodic rap;trap
6LXRvV2OAtXF7685fzh3mj,Rowdy Rebel,168490,51,nyc rap
63rJq5DaUMq2OhAnh3al79,DJ Envy,9504,30,jersey club
0FTrIsp2Mg7Bkf8eXQrISa,PHresher,40960,35,nyc rap
7rkW85dBwwrJtlHRDkJDAC,NAV,3486776,72,canadian hip hop;canadian trap;melodic rap;rap;trap
2LIAgeQ5NZurwixfoG3CWZ,Alkaline,560867,57,dancehall;jamaican hip hop;traphall
1DvtabXAjfrMihPP6JQdHs,Shy Glizzy,863630,61,drill;memphis hip hop;trap
6iHjyhqvFSzRPe329fW6WD,Loso Loaded,32281,33,unknown
4uSN8Y3kgFNVULUWsZEAVW,Lil Bibby,621175,42,chicago drill;chicago rap;drill;trap
1qSJaftSab2kTTsj7fLxvM,DJ SpinKing,11324,47,slow game
4Q2hTDZYFCohf17D5GvkIb,G Perico,162392,54,cali rap;west coast trap
2XHJ36WzMJKpDk6fLl6lMo,The Hics,35043,33,unknown
6awzBEyEEwWHOjLox1DkLr,Girl Talk,213964,47,mashup;pittsburgh indie
4j5EnP4t2lSKolLuQh1xvn,St. Beauty,34672,32,alternative r&b
5REHfa3YDopGOzrxwTsPvH,Deante' Hitchcock,112543,40,atl hip hop;underground hip hop
7gWumE1wMALHXANLSIt054,Dreezy,714775,49,chicago rap;drill;trap queen
2rhFzFmezpnW82MNqEKVry,Ski Mask The Slump God,5907143,73,hip hop;miami hip hop;pop rap;rap;trap;underground hip hop
21dooacK2WGBB5amYvKyfM,Smokepurpp,2412784,55,melodic rap;miami hip hop;trap;underground hip hop
0vaKiuLwFJLVU664A8GTjE,Jace,7698,46,unknown
07V3atNq2TyPNDYmzp6Dyy,Reese LAFLARE,93464,48,atl trap;underground hip hop
5j1BNsC9xeWGfBVCzzg6fc,Omen,38574,44,chicago rap
6PDLwWvgYNMfBRLqC1h5cJ,Buddy,247092,55,alternative r&b;cali rap;canadian hip hop
2tMOCIpxj6jwM9e6pmwGiP,KEY!,43242,45,atl trap;underground hip hop
5oFkj1qSlyBUmV5d6Edgtq,Cozz,205913,48,underground hip hop
6U3ybJ9UHNKEdsH7ktGBZ7,JID,1842974,77,hip hop;pop rap;rap;underground hip hop
75WcpJKWXBV3o3cfluWapK,Lute,223003,56,indie hip hop;north carolina hip hop;underground hip hop
4vpGVGgxSDcCTmqYbsOnsn,Amber Coffman,18844,57,art pop
3Oim8XBPbznAa8Jj8QzNc8,Cults,915507,69,experimental pop;indie surf;pov: indie
70gP6Ry4Uo0Yx6uzPIdaiJ,Bas,581172,66,queens hip hop;sudanese hip hop;sudanese pop;underground hip hop
51J0q8S7W3kIEYHQi3EPqk,Bayside,229184,49,emo;neon pop punk;pop punk;screamo
4ghjRm4M2vChDfTUycx0Ce,New Found Glory,842730,58,easycore;emo;neon pop punk;pop punk
55VydwMyCuGcavwPuhutPL,The Used,1203074,61,alternative metal;neon pop punk;pop emo;post-grunge;post-hardcore;screamo
0k7Xl1pqI3tu8sSEjo5oEg,Paul Wall,848933,65,chopped and screwed;crunk;dirty south rap;houston rap
4isewEHTP7Az2QheDdBQ6J,24hrs,231783,50,atl trap;trap soul
3XcCT5MPlQPWFTJyzXbfuX,Maejor,102572,59,detroit hip hop
5JYReWgOGu4JKm5pqmACqG,Devon Baldwin,19959,42,indie electropop
4KJ6jujcNPzOyhdNoiNftp,lovelytheband,425820,57,modern rock;pov: indie
3sKeaby6GMSJWgYueZaSjE,Mokita,207877,57,chill pop;singer-songwriter pop
1tJnPDE5oPDB6ZqMsCTTYx,PatrickReza,35405,47,dark r&b;la pop
61qMnYXa1GxSBoV3IiYKjZ,Yung Pinch,524824,49,melodic rap;oc rap
3VTJqPiHqHHIrx1FL7avMY,Stalking Gia,19003,36,indie electropop
2paaWadjhhY3shymyR5TcH,Riggi & Piros,33763,39,dutch house;electro house;melbourne bounce;pop edm;progressive electro house;sky room
47z7ZrgFoBvVpCnElCE3Zh,Yellow Claw,1028610,60,dutch house;edm;electro house;pop dance
7pMqgUModTCyS7hpa5n2Lc,FRND,72616,41,pop edm
1nf5yEVCfMbqm1OCYpntBT,Prince Fox,59919,33,nyc pop;pop edm
